id,name,uri
4TMzSXEMtNYOPh21itBKsp,Pilgrims,spotify:track:4TMzSXEMtNYOPh21itBKsp
6iewIywVK4V0SQfSCZonCR,"Resentment (feat. Sturgill Simpson, Brian Wilson & Wrabel)",spotify:track:6iewIywVK4V0SQfSCZonCR
4GGSmoTmc5LClrowB4SmEw,Mind Is A Prison,spotify:track:4GGSmoTmc5LClrowB4SmEw
5e7Hl8xER3Y5Ez3MOseGUj,Keeps Me Awake,spotify:track:5e7Hl8xER3Y5Ez3MOseGUj
0g8Dq6OpSmWengqtLrVr77,The Reaper,spotify:track:0g8Dq6OpSmWengqtLrVr77
6VWz99969QmNc2gWo21ktl,See The Way,spotify:track:6VWz99969QmNc2gWo21ktl
6TRt2bniIq0EIlrDlje7b8,First Man,spotify:track:6TRt2bniIq0EIlrDlje7b8
3yOlyBJuViE2YSGn3nVE1K,My Oh My (feat. DaBaby),spotify:track:3yOlyBJuViE2YSGn3nVE1K
290SZlJ3BPDbczcxLJ7nlb,In A Spiral,spotify:track:290SZlJ3BPDbczcxLJ7nlb
5TgS4dcUAU8EEb506d8wAT,Ghost,spotify:track:5TgS4dcUAU8EEb506d8wAT
0gUGTaVTrXhweOk3vZFySa,Your Hands,spotify:track:0gUGTaVTrXhweOk3vZFySa
2sP7nNgzsZqX4WwCzqw8J9,Time Machine,spotify:track:2sP7nNgzsZqX4WwCzqw8J9
4Vnh1z8VaCNNDXjyt2KpyU,House On Fire,spotify:track:4Vnh1z8VaCNNDXjyt2KpyU
2DdeoqbYD4cvoOQ12E8F7Y,By The River,spotify:track:2DdeoqbYD4cvoOQ12E8F7Y
7iIdlk3gBIll6L8KrCEndM,I Am Steve,spotify:track:7iIdlk3gBIll6L8KrCEndM
3YGkdGuc6C3CwvaZnTr0TK,Living For Today,spotify:track:3YGkdGuc6C3CwvaZnTr0TK
5WNyUR5beRz02iLHZt8vPI,Smash,spotify:track:5WNyUR5beRz02iLHZt8vPI
2bR6LkOC10pZ3udHdZiENF,My Own Dance,spotify:track:2bR6LkOC10pZ3udHdZiENF
2fRJ1x3PGFduyKlan2BDEP,El Pueblo,spotify:track:2fRJ1x3PGFduyKlan2BDEP
6THxHFEYGPUUPxBgF2Fi7g,Aurora,spotify:track:6THxHFEYGPUUPxBgF2Fi7g
6SP30VdncYypcHkkzgbqZb,Pray (feat. Kameron Alexander),spotify:track:6SP30VdncYypcHkkzgbqZb
1b1FNcPgrl9NuN6bxikQur,Crash Dive,spotify:track:1b1FNcPgrl9NuN6bxikQur
5iwVAm4CsBFn440H5aAtaC,Got It Bad,spotify:track:5iwVAm4CsBFn440H5aAtaC
2xrW6sZRmahuSAQMxO4BmJ,Rush,spotify:track:2xrW6sZRmahuSAQMxO4BmJ
2bZ8vGCwKb00MSatCiiojJ,Restless,spotify:track:2bZ8vGCwKb00MSatCiiojJ
1y6bZFq4owTMxLPwB0eRlf,You Hate Me and I Love It,spotify:track:1y6bZFq4owTMxLPwB0eRlf
0X5P8SOSHNu2h6AbeZHI6Q,Borrowed Time,spotify:track:0X5P8SOSHNu2h6AbeZHI6Q
423RD3Z3e5fSlL6wNINvmS,Young Volcanoes,spotify:track:423RD3Z3e5fSlL6wNINvmS
4ozPOpuCucEvKQp9pVjUDx,The Phoenix,spotify:track:4ozPOpuCucEvKQp9pVjUDx
7neWp4incUBLP1XQTNWmP0,La Vaca,spotify:track:7neWp4incUBLP1XQTNWmP0
0iZzWrpdwwFrynCW0bmyVe,Candela,spotify:track:0iZzWrpdwwFrynCW0bmyVe
5tMLIgw6yxobsAyIVvfHo5,Agua y Mezcal,spotify:track:5tMLIgw6yxobsAyIVvfHo5
4Ko9JaLUvf54PmluMaDCqm,Ola Adiós,spotify:track:4Ko9JaLUvf54PmluMaDCqm
6LTdgrPeLySp1eAXD8A5vK,Emergency,spotify:track:6LTdgrPeLySp1eAXD8A5vK
2tSbieJl1HkOi5IE1PHNWQ,Well Wasted (Remix),spotify:track:2tSbieJl1HkOi5IE1PHNWQ
3aj6KpLUGmAQRW12hb4SML,Bloodhound,spotify:track:3aj6KpLUGmAQRW12hb4SML
2XMXOcikghx1rZOGf8vJDV,I Don't Like You,spotify:track:2XMXOcikghx1rZOGf8vJDV
4NYhG30lXxaDNM1pyv5PsF,Go My Own Way,spotify:track:4NYhG30lXxaDNM1pyv5PsF
1dWrwfFNfSE0tO9cgTB88r,Mollie,spotify:track:1dWrwfFNfSE0tO9cgTB88r
0SZPjZJt5PXDZDig6GrL6L,Karma - Acoustic,spotify:track:0SZPjZJt5PXDZDig6GrL6L
4LX046nDpHzhRRap1FOgm6,Holy Water,spotify:track:4LX046nDpHzhRRap1FOgm6
2apLrBlEQvFa8ob0dQcu6i,Good Luck,spotify:track:2apLrBlEQvFa8ob0dQcu6i
26wkySyoQtiEhMRct3xGHJ,I TRIED - DEMO,spotify:track:26wkySyoQtiEhMRct3xGHJ
1CYdm33W4P71qdXWAZdrre,SOMEONE ELSE,spotify:track:1CYdm33W4P71qdXWAZdrre
63VyEdzMM3w4ZQ1WtARa2S,Takeaway (feat. Lennon Stella),spotify:track:63VyEdzMM3w4ZQ1WtARa2S
4jdQauOS0td396h24QW5pp,No Words - Analog Sessions,spotify:track:4jdQauOS0td396h24QW5pp
77s6rpwP3usU5q7t7tzcXt,Heartbeats,spotify:track:77s6rpwP3usU5q7t7tzcXt
77o1HdXHm1hLd7Ebe9ygd0,THAT BITCH,spotify:track:77o1HdXHm1hLd7Ebe9ygd0
4I0tFcRHjW3AkN1Jg1veOM,fine,spotify:track:4I0tFcRHjW3AkN1Jg1veOM
3KPh2mki04GJvozNyd4zQg,Golden Age,spotify:track:3KPh2mki04GJvozNyd4zQg
3onj6HfI3TCJyrsWMvdMeZ,Watch Tv,spotify:track:3onj6HfI3TCJyrsWMvdMeZ
6PWX4JtyprO9Li36Iy9H6q,What the Stars Need,spotify:track:6PWX4JtyprO9Li36Iy9H6q
3JWiDGQX2eTlFvKj3Yssj3,Closed On Sunday,spotify:track:3JWiDGQX2eTlFvKj3Yssj3
0oPOuDmmkVp3h6puekhs6P,Use This Gospel,spotify:track:0oPOuDmmkVp3h6puekhs6P
